cust_name,review_date,review_title,review_description,range_used,review_score
Edriaa,30/04/2023,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Badr belmaachi,11/02/2023,jdida,Salam,Utilise ce produit depuis Plus de 2 ans,5
Khalid,02/01/2023,42,1,Utilise ce produit depuis 3 à 6 mois,5
Youssef,08/10/2022,Comfortable,It is comfortable and practical,Utilise ce produit depuis 2 à 8 semaines,5
Youssef,02/10/2022,Sandales,C'est bien,Utilise ce produit depuis 2 à 8 semaines,4
Mohamed,25/09/2022,Bien,Il est bien ce produit,Utilise ce produit depuis 2 à 8 semaines,4
Imad,15/09/2022,léger et confortable,confortable,Utilise ce produit depuis 3 à 6 mois,5
Rachid,04/09/2022,excellent produit,excellent produit,Utilise ce produit depuis 2 à 8 semaines,5
JAMAL,01/09/2022,Super,Pratique et super,Utilise ce produit depuis 2 à 8 semaines,5
Mohamed,13/08/2022,Z,Bon produit,Utilise ce produit depuis 2 à 8 semaines,4
Hicham,05/08/2022,Bien,Bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Abdelkarim,04/08/2022,elidrissi.karim4567@gmaile.com,رائع چدا,Utilise ce produit depuis 1 semaine ou moins,5
Amina,31/07/2022,Satisfait,Très satisfait,Utilise ce produit depuis 2 à 8 semaines,2
-Naima,31/07/2022,.,Robuste et Très confortable,Utilise ce produit depuis 1 semaine ou moins,4
Ghazi Mustapha,26/07/2022,Excellent,Bon produit,Utilise ce produit depuis 2 à 8 semaines,4
Hassan,17/07/2022,excellent produit,Très bon produit pour utilisation en période estivale.,Utilise ce produit depuis 2 à 8 semaines,5
Mbk,15/07/2022,Sandales,Très confortable,Utilise ce produit depuis 2 à 8 semaines,4
Sanaa,22/06/2022,Bonne qualité,Très bonne qualité,Utilise ce produit depuis 2 à 8 semaines,5
Zoubaili,17/06/2022,Bravoo decathlon,Pour l instant réconfortant un seul bémol il glisse  surtout avec la moto au garage en descendant boom .main dans tt les cad bien,Utilise ce produit depuis 2 à 8 semaines,5
Azzedine,29/05/2022,Bien,Bien,NaN,3
