cust_name,review_date,review_title,review_description,range_used,review_score
Ouioui,20/02/2023,Tres bon article,Merci Decathlon,Utilise ce produit depuis 2 à 8 semaines,5
Khalid,04/01/2023,Le prix,399dh c'est le juste prix. Pas moyen que quelqu'un l'achète pour plus que ça.,Utilise ce produit depuis 2 à 8 semaines,3
Mohamed,12/12/2022,beatiful product,very useful product with good quality i advice you to buy it ♥️❤️,Utilise ce produit depuis 1 semaine ou moins,5
Ouzzine,08/12/2022,رائعة,ثمن مناسب جدا,Utilise ce produit depuis 2 à 8 semaines,5
Hatim,01/12/2022,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Abdelaziz,18/11/2022,tres bon article,tres bon article,Utilise ce produit depuis 1 semaine ou moins,5
Brahim,18/11/2022,Lahrach,Bon Qualité,Utilise ce produit depuis 2 à 8 semaines,3
Adam,09/11/2022,ok,ok,Utilise ce produit depuis 1 semaine ou moins,5
Zakariae,01/10/2022,Wonderful,It's soooo good comparing to it price,Utilise ce produit depuis 2 à 8 semaines,5
Yassir,24/09/2022,Gg,👍,Utilise ce produit depuis 2 à 8 semaines,5
Raymond -,25/05/2023,"Excellent matériel, je le…","Excellent matériel, je le recommande vivement.",Utilise ce produit depuis 2 à 8 semaines,5
Anne-Laure,23/05/2023,Bon pack,"Bon pack, très pratique et polyvalent. Seul problème il manque des petits poids de 0,5kg",Utilise ce produit depuis 3 à 6 mois,4
Laurie,22/05/2023,Très bon rapport qualité/prix pour ce produit !,Très bon rapport qualité/prix pour ce produit ! Je suis ravie d'avoir investi et je le recommande à tout débutant en musculation !,Utilise ce produit depuis 2 à 8 semaines,5
HUBERT,17/05/2023,TVB RAS,TVB RAS,Utilise ce produit depuis 1 semaine ou moins,5
Bruno,15/05/2023,"Mallette complète, bon rapport…","Mallette complète, bon rapport qualité prix",Utilise ce produit depuis 1 semaine ou moins,5
Dolores,14/05/2023,Bien,Bien,Utilise ce produit depuis 7 à 12 mois,5
Vincent,14/05/2023,Malette très pratique et…,"Malette très pratique et modulable 
Tout est parfait",Utilise ce produit depuis 3 à 6 mois,5
Amelie,13/05/2023,Il manque des poids…,Il manque des poids de 500g je trouve,Utilise ce produit depuis 2 à 8 semaines,4
Estelle,13/05/2023,Convient  mes attentes,Convient  mes attentes,Utilise ce produit depuis 3 à 6 mois,5
Audrey,11/05/2023,Fait le job,"La prise en main est bonne.
Possibilité de faire des poids de 4,6,8 et 10kg
Je vais me racheter des poids des 0,5kg et 5kg pour avoir un meilleur panel.

Penser à bien serrer les vices fort sinon elles peuvent se desserrer",Utilise ce produit depuis 2 à 8 semaines,4
